当前路径,文件名,扩展名,文件大小,SHA-256,Git最早出现时间,Git最后修改时间,推定游戏年度,推定季度,推定档案类型,推定状态,是否当前权威入口,是否被其他文件引用,是否存在完全重复文件,是否存在近似重复文件,建议未来路径,分类置信度,备注和冲突
.gitignore,.gitignore,(无扩展名),31,4adaa2f02183ab51e168a2bc013e95e3f073ba9ffa37a85caaff92ad46d1d159,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,否,否,否,.gitignore,0.99,
AGENTS.md,AGENTS.md,.md,4913,0491f9098bfe1495ac9322a56bba7a77cb4fccccf271b44070d5bc0bdd9b520f,2026-07-30T23:10:52-07:00,2026-07-31T13:08:12-07:00,崇祯11年,,仓库程序/配置,不适用,是,是（1）,否,否,AGENTS.md,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md
CURRENT_ARCHIVE.md,CURRENT_ARCHIVE.md,.md,5236,9ea83e34b720e8614f4e2ff87d4da0371002e15fbc44472adc38a60f5960ba84,2026-07-30T22:45:49-07:00,2026-07-31T22:46:27-07:00,崇祯11年,秋,季度结案/当前快照,当前状态（仓库指针，晚于玩家口述前已过时）,是,是（3）,否,否,CURRENT_ARCHIVE.md,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | README.md | data/archive_manifest.json
README.md,README.md,.md,5632,9b4d98e5da8df1628e9014247639ad123a8e34f432735cd56f3c34036a87978f,2026-07-30T15:11:05-05:00,2026-07-31T13:07:35-07:00,崇祯11年,夏,仓库程序/配置,不适用,是,是（4）,否,否,README.md,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: modules/knowledge_base.py | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | 大明档案/国策路线/国策路线.md
config/config.example.json,config.example.json,.json,114,5d1da825afaeec0d7fbb50a41206a6255991ee02267f7d52c386ce669f11bd18,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,否,否,否,config/config.example.json,0.99,配置样例，保留原位
data/appointments/CZ11-AUTUMN-PERSONNEL-PLAN-1.json,CZ11-AUTUMN-PERSONNEL-PLAN-1.json,.json,2978,307f6fa9261a59b1b8dea70487dc562a2be9b57c220fe76a0cfa3404a812bd98,2026-07-31T22:28:21-07:00,2026-07-31T22:28:21-07:00,崇祯11年,秋,跨季度长期制度/名册/数据库,历史状态,是,是（5）,否,否,data/appointments/CZ11-AUTUMN-PERSONNEL-PLAN-1.json,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json
data/appointments/CZ11-SUMMER-NATIONAL-OFFICIAL-ROSTER-1.json,CZ11-SUMMER-NATIONAL-OFFICIAL-ROSTER-1.json,.json,8641,21ce9d93cb23d3b90d89b246afa6f2e8609a27e367d5fd0b6d4e136564e4a035,2026-07-31T12:57:46-07:00,2026-07-31T12:57:46-07:00,崇祯11年,夏,跨季度长期制度/名册/数据库,历史状态,否,是（3）,否,否,data/appointments/CZ11-SUMMER-NATIONAL-OFFICIAL-ROSTER-1.json,0.93,引用示例: AGENTS.md | README.md | 大明档案/朝臣档案/崇祯11年夏全国军政要员名册复核.md
data/appointments/CZ11-SUMMER-PERSONNEL-1.json,CZ11-SUMMER-PERSONNEL-1.json,.json,5238,07d741ccfb3f278fb59cef5c5f402ff7abeaa6a1a07b6361ec29c772acd56bf3,2026-07-31T12:26:45-07:00,2026-07-31T12:26:45-07:00,崇祯11年,夏,跨季度长期制度/名册/数据库,历史状态,否,是（2）,否,否,data/appointments/CZ11-SUMMER-PERSONNEL-1.json,0.93,引用示例: AGENTS.md | README.md
data/appointments/崇祯10年秋六部侍郎荐举与堂官补实令.json,崇祯10年秋六部侍郎荐举与堂官补实令.json,.json,1689,45392a158203752965da5767d8f878b12c7d1cb53420b756c7d8c847b9da7587,2026-07-31T07:49:45-07:00,2026-07-31T08:56:57-07:00,崇祯10年,秋,跨季度长期制度/名册/数据库,历史状态,否,否,否,否,data/appointments/崇祯10年秋六部侍郎荐举与堂官补实令.json,0.93,
data/appointments/崇祯11年春六部正式任命与堂官到任考成.json,崇祯11年春六部正式任命与堂官到任考成.json,.json,3163,9f92ceb3d86daa860afd8e861db6aeeb02ad59931309c038089f757b702ce304,2026-07-31T08:53:15-07:00,2026-07-31T08:53:15-07:00,崇祯11年,春,跨季度长期制度/名册/数据库,历史状态,否,是（1）,否,否,data/appointments/崇祯11年春六部正式任命与堂官到任考成.json,0.93,引用示例: data/appointments/崇祯10年秋六部侍郎荐举与堂官补实令.json
