游戏年度,季度,御前密谈,正式诏书,实际提交版本可确认,游戏推演结果,朝政纪要,季度结案,季度快照,人事快照,军队快照,地方面板,财政对账,未结任务,计划与实际混淆风险,多个冲突版本,文件总数,备注
天启7年,秋,否,疑似（原稿重复）,待玩家确认,是,是,否,否,否,否,否,否,否,未检出,是,6,天启7年秋诏书位于朝政纪要且与uploads原稿完全重复，正式性待确认；你现在是《历史模拟器：崇祯》的游戏参谋与诏书起草官。.md
天启7年,冬,否,否,否,是,是,否,否,否,否,否,否,否,是,否,3,天启七年冬季朝政纪要.md
崇祯1年,春,否,是,待玩家确认,是,是,否,否,否,否,否,是,是,是,是,10,崇祯元年春季朝政纪要.md
崇祯1年,夏,否,是（汇编）,待玩家确认,是,是,否,否,否,否,否,否,否,是,否,1,诏书全集.md含该季度条目；崇祯元年夏季朝政纪要.md
崇祯1年,秋,否,是（汇编）,待玩家确认,是,是,否,否,否,否,否,否,否,未检出,否,1,诏书全集.md含该季度条目；崇祯元年秋季朝政纪要.md
崇祯1年,冬,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,未检出,否,2,崇祯元年冬季朝政纪要.md
崇祯2年,春,否,是,待玩家确认,是,是,否,否,否,否,否,否,是,是,是,8,# 崇祯二年春季朝政纪要.md
崇祯2年,夏,否,是,待玩家确认,是,是,否,否,否,否,否,否,是,是,否,3,崇祯二年夏季朝政纪要.md
崇祯2年,秋,否,否,否,是,是,否,否,否,否,否,否,否,是,否,1,崇祯二年秋季朝政纪要.md
崇祯2年,冬,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,是,否,2,崇祯二年冬季朝政纪要.md
崇祯3年,春,否,是,待玩家确认,否,否,否,否,否,否,否,否,是,未检出,否,3,
崇祯3年,夏,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,是,否,2,崇祯三年夏季朝政纪要.md
崇祯3年,秋,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,是,否,2,崇祯三年秋季朝政纪要.md
崇祯3年,冬,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,是,否,2,崇祯三年冬季朝政纪要.md
崇祯4年,春,否,是,待玩家确认,是,是,否,否,是,否,否,否,否,是,否,4,崇祯四年春季朝政纪要.md
崇祯4年,夏,是,是,待玩家确认,是,是,否,否,否,否,否,否,否,是,否,3,崇祯四年夏季朝政纪要.md
崇祯4年,秋,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,未检出,否,2,崇祯四年秋季朝政纪要.md
崇祯4年,冬,是,是,待玩家确认,是,是,否,否,否,否,否,否,是,是,是,5,崇祯四年冬季朝政纪要.md
崇祯5年,春,否,是,待玩家确认,是,是,否,否,否,否,是,否,是,是,否,4,崇祯五年春季朝政纪要.md
崇祯5年,夏,否,否,否,是,是,否,否,否,否,否,否,否,未检出,否,1,崇祯五年夏季朝政纪要.md
崇祯5年,秋,是,是,待玩家确认,是,是,是,否,否,否,是,否,是,未检出,否,5,崇祯五年秋季朝政纪要.md
崇祯5年,冬,是,是,待玩家确认,是,是,是,否,否,否,是,否,是,未检出,否,5,崇祯五年冬季朝政纪要.md
崇祯6年,春,否,否,否,是,是,是,否,否,否,是,否,否,未检出,否,2,崇祯六年春季朝政纪要.md
崇祯6年,夏,否,是,待玩家确认,是,是,是,否,否,否,是,否,否,未检出,否,3,崇祯六年夏季朝政纪要.md
崇祯6年,秋,是,是,待玩家确认,是,是,否,否,否,否,是,否,否,未检出,否,4,崇祯六年秋季朝政纪要.md
崇祯6年,冬,否,是,待玩家确认,是,是,是,否,否,否,是,否,否,是,否,4,崇祯六年冬季朝政纪要.md
崇祯7年,春,是,是,待玩家确认,是,是,是,否,否,否,是,否,是,未检出,否,5,崇祯七年春季朝政纪要.md
崇祯7年,夏,否,是,待玩家确认,是,是,否,否,否,否,是,否,否,未检出,否,3,崇祯七年夏季朝政纪要——剿抚初成火器兴，鼠疫西去六耳生.md
崇祯7年,秋,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,未检出,否,2,崇祯七年秋季朝政纪要——秋防御寇边城固，剿抚扩军火器兴.md
崇祯7年,冬,否,是,待玩家确认,是,是,是,否,否,否,是,否,否,未检出,否,3,崇祯七年冬季朝政纪要——宣大犒军固边墙，陕疫蔓延剿寇艰.md
崇祯8年,春,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,是,否,3,崇祯八年春季朝政纪要——春赏遍施安黎庶，剿抚初成效边患.md
崇祯8年,夏,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,是,否,2,崇祯八年夏季朝政纪要——北疆升级火器兴，洪疫夹攻陕局定.md
崇祯8年,秋,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,是,否,3,崇祯八年秋季朝政纪要——赏银遍发百业兴，北疆车营初成军.md
崇祯8年,冬,否,是,待玩家确认,是,是,否,否,否,否,否,否,否,未检出,否,3,崇祯八年冬季朝政纪要——冬防八镇启边墙，合围初战破闯王.md
崇祯9年,春,是,是,待玩家确认,是,是,否,否,是,是,是,否,是,是,是,19,崇祯九年春季朝政纪要——蝗旱肆虐陕局艰，大赏决战争全局.md
崇祯9年,夏,否,否,否,是,是,否,否,是,是,是,是,否,是,否,6,崇祯九年夏季朝政纪要——京西建厂初奠基，陕寇两酋授首，建虏僭号称清.md
